ADDRESS,INC1,INC2,INC3,INC4,LOC_CODE,CASE_NUMBER,TIME,DATE,DAY_FROM,DATE_FROM,TIME_FROM,DAY_TO,DATE_TO,TIME_TO,LOSS,DAMG,ObjectId
200 BLOCK BRIDGER RD,5222,0,0,0,80,C3-000016,27,1/1/2023,SUN,1/1/2023,1,SUN,1/1/2023,27,0,0,1
600 BLOCK W CORNHUSKER HWY,5333,0,0,0,1,C3-000020,31,1/1/2023,SUN,1/1/2023,25,SUN,1/1/2023,31,0,0,2
900 BLOCK GASLIGHT LN,8222,0,0,0,81,C3-000025,42,1/1/2023,SUN,1/1/2023,30,SUN,1/1/2023,42,0,0,3
6800 BLOCK WILDCAT DR,23300,0,0,0,25,C3-000031,113,1/1/2023,SUN,1/1/2023,45,SUN,1/1/2023,113,0,0,4
1300 BLOCK O ST,5222,0,0,0,3,C3-000032,111,1/1/2023,SUN,1/1/2023,109,SUN,1/1/2023,111,0,0,5
200 BLOCK N 9TH ST,5222,0,0,0,12,C3-000047,159,1/1/2023,SUN,1/1/2023,150,SUN,1/1/2023,159,0,0,6
1400 BLOCK O ST,5222,0,0,0,1,C3-000051,224,1/1/2023,SUN,1/1/2023,223,,,224,0,0,7
200 BLOCK DAWES AVE,42000,0,0,0,81,C3-000053,226,1/1/2023,SUN,1/1/2023,220,SUN,1/1/2023,226,0,300,8
3000 BLOCK NW 12TH ST,41000,0,0,0,86,C3-000063,144,1/1/2023,SUN,1/1/2023,120,SUN,1/1/2023,144,0,0,9
3600 BLOCK MADISON AVE,5222,0,0,0,80,C3-000065,158,1/1/2023,SUN,1/1/2023,30,SUN,1/1/2023,158,0,0,10
3000 BLOCK VINE ST,5333,0,0,0,80,C3-000067,302,1/1/2023,SUN,1/1/2023,300,SUN,1/1/2023,302,0,0,11
4200 BLOCK INDUSTRIAL AVE,9000,0,0,0,86,C3-000077,346,1/1/2023,SUN,1/1/2023,340,,,346,0,0,12
2500 BLOCK NW 4TH ST,25211,0,0,0,80,C3-000081,354,1/1/2023,,1/1/2023,344,,,354,0,0,13
3000 BLOCK VINE ST,25111,0,0,0,80,C3-000084,316,1/1/2023,,12/31/2022,2330,,,316,0,0,14
5600 BLOCK ADAMS ST,5222,0,0,0,82,C3-000085,438,1/1/2023,SUN,1/1/2023,400,SUN,1/1/2023,438,0,0,15
2400 BLOCK R ST,5333,0,0,0,83,C3-000090,520,1/1/2023,SUN,1/1/2023,30,SUN,1/1/2023,520,0,0,16
2100 BLOCK J ST,5333,42000,0,0,84,C3-000092,535,1/1/2023,SUN,1/1/2023,500,SUN,1/1/2023,535,0,100,17
100 BLOCK Q ST,38910,0,0,0,85,C3-000095,639,1/1/2023,SUN,1/1/2023,620,SUN,1/1/2023,639,0,0,18
CITY OF LINCOLN,5222,0,0,0,99,C3-000096,537,1/1/2023,SAT,12/31/2022,2300,SUN,1/1/2023,537,0,0,19
3100 BLOCK STARR ST,25111,0,0,0,80,C3-000098,621,1/1/2023,,12/31/2022,2130,,,621,0,0,20
CITY OF LINCOLN,24000,0,0,0,97,C3-000101,720,1/1/2023,THU,12/1/2022,1,SUN,1/1/2023,720,0,0,21
3800 BLOCK W O ST,5222,0,0,0,75,C3-000106,859,1/1/2023,SUN,1/1/2023,800,SUN,1/1/2023,859,0,0,22
1200 BLOCK FURNAS AVE,40222,0,0,0,80,C3-000109,943,1/1/2023,SUN,1/1/2023,943,,,943,0,0,23
1200 BLOCK WASHINGTON ST,23900,0,0,0,84,C3-000110,1017,1/1/2023,SUN,1/1/2023,1007,SUN,1/1/2023,1017,0,0,24
1300 BLOCK F ST,24255,0,0,0,96,C3-000112,1017,1/1/2023,SUN,1/1/2023,1000,SUN,1/1/2023,1017,0,0,25
2100 BLOCK Y ST,23500,0,0,0,9,C3-000114,1031,1/1/2023,FRI,12/30/2022,1700,SUN,1/1/2023,1031,0,0,26
3400 BLOCK N 75TH ST,25211,0,0,0,80,C3-000115,1037,1/1/2023,,1/1/2023,1,,,1037,0,0,27
2500 BLOCK J ST,42000,0,0,0,84,C3-000116,1057,1/1/2023,SAT,12/31/2022,2300,SUN,1/1/2023,1057,0,85,28
2200 BLOCK HOLDREGE ST,42000,0,0,0,1,C3-000117,1040,1/1/2023,SUN,1/1/2023,347,SUN,1/1/2023,1040,0,300,29
200 BLOCK S 25TH ST,42000,0,0,0,88,C3-000120,1127,1/1/2023,WED,12/28/2022,0,SUN,1/1/2023,1127,0,150,30
2300 BLOCK OLD GLORY RD,5222,0,0,0,80,C3-000122,1145,1/1/2023,SAT,12/31/2022,2200,SUN,1/1/2023,1145,0,0,31
1200 BLOCK WASHINGTON ST,61000,0,0,0,84,C3-000128,1233,1/1/2023,SUN,1/1/2023,800,SUN,1/1/2023,1233,0,0,32
5000 BLOCK S 65TH ST,5333,0,0,0,80,C3-000129,1248,1/1/2023,SUN,1/1/2023,900,SUN,1/1/2023,1248,0,0,33
2600 BLOCK S 48TH ST,61000,0,0,0,63,C3-000139,1323,1/1/2023,SUN,1/1/2023,1254,,,1323,0,0,34
1400 BLOCK O ST,54111,0,0,0,24,C3-000140,1327,1/1/2023,TUE,1/1/2013,245,TUE,1/1/2013,1327,0,0,35
1800 BLOCK SW DEREK AVE,25211,0,0,0,80,C3-000141,1343,1/1/2023,,1/1/2023,1330,,,1343,0,0,36
1200 BLOCK S 22ND ST,25111,0,0,0,84,C3-000147,1407,1/1/2023,,1/1/2023,1407,,,1407,0,0,37
1200 BLOCK LINCOLN MALL,11200,0,0,0,84,C3-000148,1302,1/1/2023,THU,12/29/2022,800,SUN,1/1/2023,1302,0,0,38
3800 BLOCK S 46TH ST,12000,0,0,0,84,C3-000159,1440,1/1/2023,SUN,1/1/2023,1430,SUN,1/1/2023,1440,0,0,39
CITY OF LINCOLN,54111,0,0,0,99,C3-000160,1503,1/1/2023,SUN,1/1/2023,753,SUN,12/25/2022,1503,0,0,40
100 BLOCK N 70TH ST,54111,0,0,0,28,C3-000162,1342,1/1/2023,SAT,12/31/2022,1500,,,1342,0,0,41
3500 BLOCK N 27TH ST,23300,0,0,0,17,C3-000166,1550,1/1/2023,FRI,12/30/2022,1618,FRI,12/30/2022,1550,0,0,42
7000 BLOCK A ST,23400,0,0,0,35,C3-000168,1453,1/1/2023,MON,12/26/2022,1130,MON,12/26/2022,1453,0,0,43
200 BLOCK S 52ND ST,23500,0,0,0,1,C3-000169,1407,1/1/2023,SAT,12/31/2022,1920,SUN,1/1/2023,1407,0,0,44
6000 BLOCK HIDCOTE DR,13000,0,0,0,83,C3-000174,1604,1/1/2023,SUN,1/1/2023,1500,SUN,1/1/2023,1604,0,0,45
UNKNOWN,29300,0,0,0,36,C3-000178,1624,1/1/2023,MON,12/26/2022,1130,SUN,1/1/2023,1624,0,0,46
2500 BLOCK JAMIE LN,29300,0,0,0,17,C3-000179,1627,1/1/2023,MON,12/26/2022,1130,SUN,1/1/2023,1627,0,0,47
4500 BLOCK O ST,29300,0,0,0,24,C3-000180,1627,1/1/2023,MON,12/26/2022,1130,SUN,1/1/2023,1627,0,0,48
UNKNOWN,29300,0,0,0,18,C3-000181,1628,1/1/2023,MON,12/26/2022,1130,SUN,1/1/2023,1628,0,0,49
UNKNOWN,29300,0,0,0,18,C3-000182,1628,1/1/2023,MON,12/26/2022,1130,SUN,1/1/2023,1628,0,0,50
S 26TH ST / D ST,27111,26111,0,0,3,C3-000366,1209,1/2/2023,MON,1/2/2023,1209,,,1209,0,0,51
900 BLOCK S 27TH ST,29300,0,0,0,21,C3-000367,1320,1/2/2023,MON,1/2/2023,1040,MON,1/2/2023,1320,0,0,52
6400 BLOCK S 32ND ST,23600,42000,0,0,80,C3-000370,1321,1/2/2023,SUN,1/1/2023,800,MON,1/2/2023,1321,0,100,53
200 BLOCK NW 18TH ST,40222,0,0,0,81,C3-000372,1325,1/2/2023,MON,1/2/2023,1300,MON,1/2/2023,1325,0,0,54
3100 BLOCK ORCHARD ST,61000,0,0,0,82,C3-000373,1333,1/2/2023,FRI,12/9/2022,0,MON,1/2/2023,1333,0,0,55
5200 BLOCK LEIGHTON AVE,12000,0,0,0,82,C3-000377,1348,1/2/2023,MON,1/2/2023,1030,MON,1/2/2023,1348,0,0,56
CITY OF LINCOLN,5333,0,0,0,99,C3-000381,1402,1/2/2023,SUN,1/1/2023,1800,MON,1/2/2023,1402,0,0,57
1600 BLOCK E ST,12401,0,0,0,84,C3-000383,1410,1/2/2023,MON,1/2/2023,1410,MON,1/2/2023,1410,0,0,58
6800 BLOCK P ST,23900,0,0,0,28,C3-000385,1455,1/2/2023,MON,1/2/2023,1355,MON,1/2/2023,1455,0,0,59
3700 BLOCK HOHENSEE DR,54111,0,0,0,84,C3-000388,1344,1/2/2023,SAT,12/31/2022,1630,MON,1/2/2023,1344,0,0,60
COLFAX CO NEBRASKA,31100,0,0,0,80,C3-000393,1443,1/2/2023,SAT,4/1/2017,0,THU,5/25/2017,1443,0,0,61
6800 BLOCK S 43RD ST,5222,0,0,0,80,C3-000394,1456,1/2/2023,MON,1/2/2023,1400,MON,1/2/2023,1456,0,0,62
2500 BLOCK NW 4TH ST,25211,0,0,0,80,C3-000397,1508,1/2/2023,,1/2/2023,1450,,,1508,0,0,63
2000 BLOCK S 50TH ST,41000,0,0,0,82,C3-000398,1508,1/2/2023,TUE,12/6/2022,1730,THU,12/8/2022,1508,0,0,64
2500 BLOCK S 17TH ST,42000,0,0,0,80,C3-000401,1532,1/2/2023,SUN,1/1/2023,1940,,,1532,0,150,65
1300 BLOCK S 10TH ST,41000,0,0,0,1,C3-000404,1552,1/2/2023,MON,1/2/2023,1552,,,1552,0,0,66
4200 BLOCK TERI LN,29410,0,0,0,80,C3-000405,1556,1/2/2023,SAT,10/1/2022,1,MON,1/2/2023,1556,0,0,67
800 BLOCK S 47TH ST,25211,0,0,0,82,C3-000407,1611,1/2/2023,,1/2/2023,1530,,,1611,0,0,68
300 BLOCK N 30TH ST,6000,0,0,0,80,C3-000408,1601,1/2/2023,TUE,12/20/2022,1,MON,1/2/2023,1601,0,0,69
6100 BLOCK O ST,24255,5222,0,0,28,C3-000410,1553,1/2/2023,MON,1/2/2023,1500,MON,1/2/2023,1553,0,0,70
3300 BLOCK O ST,13000,0,0,0,80,C3-000411,1617,1/2/2023,THU,9/1/2022,1200,FRI,9/30/2022,1617,0,0,71
5600 BLOCK CORNHUSKER HWY,23300,0,0,0,17,C3-000419,1634,1/2/2023,MON,1/2/2023,1610,MON,1/2/2023,1634,0,0,72
1500 BLOCK S 19TH ST,5222,0,0,0,83,C3-000424,1721,1/2/2023,MON,1/2/2023,1715,,,1721,0,0,73
4500 BLOCK BALDWIN AVE,13000,0,0,0,83,C3-000426,1646,1/2/2023,MON,1/2/2023,1545,MON,1/2/2023,1646,0,0,74
3000 BLOCK SHELLEY ST,24000,0,0,0,80,C3-000427,1716,1/2/2023,WED,12/14/2022,800,TUE,12/20/2022,1716,0,0,75
1900 BLOCK O ST,29300,0,0,0,61,C3-000429,1810,1/2/2023,SUN,12/18/2022,1136,SUN,12/18/2022,1810,0,0,76
1300 BLOCK O ST,29300,0,0,0,17,C3-000430,1810,1/2/2023,MON,12/19/2022,900,MON,12/19/2022,1810,0,0,77
900 BLOCK W O ST,29300,0,0,0,25,C3-000431,1810,1/2/2023,FRI,12/30/2022,900,FRI,12/30/2022,1810,0,0,78
800 BLOCK 27TH ST,29300,0,0,0,17,C3-000432,1810,1/2/2023,MON,12/19/2022,700,MON,12/19/2022,1810,0,0,79
300 BLOCK 48 ST,29300,0,0,0,21,C3-000433,1810,1/2/2023,SUN,1/1/2023,1654,SUN,1/1/2023,1810,0,0,80
800 BLOCK ASPEN LN,24000,0,0,0,80,C3-000447,1754,1/2/2023,MON,1/2/2023,1754,,,1754,0,0,81
INTERNET,61000,0,0,0,69,C3-000451,1847,1/2/2023,MON,1/2/2023,800,MON,1/2/2023,1847,0,0,82
5600 BLOCK CORNHUSKER HWY,23300,0,0,0,17,C3-000453,1848,1/2/2023,MON,1/2/2023,1726,MON,1/2/2023,1848,0,0,83
2400 BLOCK D ST,27111,0,0,0,84,C3-000454,1909,1/2/2023,MON,1/2/2023,1909,MON,1/2/2023,1909,0,0,84
2200 BLOCK SW 16TH ST,29600,0,0,0,80,C3-000455,1753,1/2/2023,TUE,12/27/2022,800,MON,1/2/2023,1753,0,0,85
7400 BLOCK N 18TH CT,12000,0,0,0,80,C3-000458,1845,1/2/2023,MON,1/2/2023,1840,,,1845,0,0,86
5500 BLOCK S 31ST ST,9000,0,0,0,84,C3-000463,2003,1/2/2023,MON,1/2/2023,1930,MON,1/2/2023,2003,0,0,87
1700 BLOCK N 27TH ST,25211,0,0,0,80,C3-000464,2015,1/2/2023,,1/2/2023,1930,,,2015,0,0,88
4000 BLOCK S 56TH ST,5222,0,0,0,84,C3-000466,2033,1/2/2023,MON,1/2/2023,2010,MON,1/2/2023,2033,0,0,89
5500 BLOCK S 31ST ST,9522,0,0,0,84,C3-000479,2135,1/2/2023,MON,1/2/2023,2115,MON,1/2/2023,2135,0,0,90
1800 BLOCK B ST,25211,0,0,0,84,C3-000483,2206,1/2/2023,,1/2/2023,2130,,,2206,0,0,91
2100 BLOCK D ST,23600,0,0,0,83,C3-000485,2214,1/2/2023,WED,12/28/2022,0,MON,1/2/2023,2214,0,0,92
1600 BLOCK MEMORIAL DR,12000,0,0,0,10,C3-000486,2126,1/2/2023,MON,1/2/2023,2126,,,2126,0,0,93
1800 BLOCK B ST,25211,0,0,0,84,C3-000487,2219,1/2/2023,,1/2/2023,2130,,,2219,0,0,94
4800 BLOCK S 75TH ST,13000,0,0,0,80,C3-000492,2250,1/2/2023,MON,1/2/2023,2250,,,2250,0,0,95
100 BLOCK COLLEGE PARK CIR,23600,0,0,0,84,C3-000494,2254,1/2/2023,SAT,12/31/2022,2300,MON,1/2/2023,2254,0,0,96
2300 BLOCK R ST,29300,0,0,0,28,C3-000500,1810,1/2/2023,SUN,12/18/2022,0,SUN,12/18/2022,1810,0,0,97
7100 BLOCK PIONEERS BLVD,23300,0,0,0,36,C3-000505,1,1/3/2023,TUE,1/3/2023,1,,,1,0,0,98
900 BLOCK RUTLAND DR,56366,0,0,0,84,C3-000512,36,1/3/2023,MON,1/2/2023,1900,TUE,1/3/2023,36,0,0,99
6800 BLOCK BEAVER CREEK LN,42000,0,0,0,1,C3-000513,1,1/3/2023,MON,1/2/2023,2350,,,1,0,275,100
100 BLOCK Q ST,27111,5333,0,0,85,C3-000709,1650,1/3/2023,TUE,1/3/2023,1640,TUE,1/3/2023,1650,0,0,101
INTERNET,29510,0,0,0,69,C3-000713,1656,1/3/2023,TUE,1/3/2023,1400,TUE,1/3/2023,1656,0,0,102
1300 BLOCK C ST,25111,0,0,0,99,C3-000715,1708,1/3/2023,,1/3/2023,1708,,,1708,0,0,103
2700 BLOCK S 36TH ST,9000,0,0,0,80,C3-000720,1656,1/3/2023,TUE,1/3/2023,1656,TUE,1/3/2023,1656,0,0,104
7100 BLOCK STACY LN,23300,0,0,0,21,C3-000722,1729,1/3/2023,TUE,1/3/2023,1526,TUE,1/3/2023,1729,0,0,105
200 BLOCK N 56 ST.,42000,0,0,0,76,C3-000724,1732,1/3/2023,TUE,1/3/2023,700,TUE,1/3/2023,1732,0,20,106
1500 BLOCK HILLTOP RD,9000,0,0,0,84,C3-000727,1707,1/3/2023,TUE,1/3/2023,1655,TUE,1/3/2023,1707,0,0,107
3000 BLOCK PINE LAKE RD,23300,27111,26111,0,26,C3-000728,1737,1/3/2023,TUE,1/3/2023,1722,TUE,1/3/2023,1737,0,0,108
1200 BLOCK C ST,24255,0,0,0,84,C3-000730,1749,1/3/2023,TUE,1/3/2023,1748,TUE,1/3/2023,1749,0,0,109
2200 BLOCK DUDLEY ST,12000,0,0,0,82,C3-000735,1802,1/3/2023,TUE,1/3/2023,1745,TUE,1/3/2023,1802,0,0,110
2900 BLOCK PINE LAKE RD,23300,0,0,0,28,C3-000736,1809,1/3/2023,TUE,1/3/2023,1700,TUE,1/3/2023,1809,0,0,111
9600 BLOCK KOI ROCK DR,29510,0,0,0,76,C3-000737,1758,1/3/2023,TUE,11/1/2022,800,TUE,1/3/2023,1758,0,0,112
22ND/C STREETS,8222,0,0,0,1,C3-000738,1739,1/3/2023,TUE,1/3/2023,1738,,,1739,0,0,113
2800 BLOCK FOLKWAYS BLVD,27111,29500,0,0,86,C3-000742,1827,1/3/2023,TUE,1/3/2023,1800,,,1827,0,0,114
400 BLOCK EASTBOROUGH LN,56366,0,0,0,80,C3-000745,1854,1/3/2023,MON,1/3/2022,1830,MON,1/3/2022,1854,0,0,115
2300 BLOCK S 16TH ST,5222,0,0,0,1,C3-000758,1959,1/3/2023,SAT,12/31/2022,1800,TUE,1/3/2023,1959,0,0,116
8000 BLOCK HANNA POINTE PL,61000,0,0,0,80,C3-000762,2034,1/3/2023,TUE,1/3/2023,1900,TUE,1/3/2023,2034,0,0,117
8700 BLOCK ANDERMATT DR,23300,0,0,0,44,C3-000767,2103,1/3/2023,TUE,1/3/2023,2040,TUE,1/3/2023,2103,0,0,118
CITY OF LINCOLN,61000,0,0,0,99,C3-000770,2131,1/3/2023,FRI,4/1/2022,1,MON,7/4/2022,2131,0,0,119
5200 BLOCK CORNHUSKER HWY,27111,26111,0,0,86,C3-000772,2141,1/3/2023,TUE,1/3/2023,2125,TUE,1/3/2023,2141,0,0,120
1600 BLOCK C ST,13000,0,0,0,83,C3-000776,2201,1/3/2023,TUE,1/3/2023,800,TUE,1/3/2023,2201,0,0,121
NW 12TH ST / W COMMERCE WAY,27111,0,0,0,1,C3-000783,2121,1/3/2023,TUE,1/3/2023,2121,,,2121,0,0,122
3400 BLOCK PORTIA ST,25211,0,0,0,80,C3-000785,2239,1/3/2023,,1/2/2023,2300,,,2239,0,0,123
1700 BLOCK S 77TH ST,41000,0,0,0,80,C3-000793,2354,1/3/2023,TUE,1/3/2023,2312,TUE,1/3/2023,2354,0,0,124
5500 BLOCK S 48TH ST,25111,0,0,0,99,C3-000794,2340,1/3/2023,,1/3/2023,2344,,,2340,0,0,125
2800 BLOCK O ST,27111,0,0,0,36,C3-000810,108,1/4/2023,WED,1/4/2023,108,,,108,0,0,126
NW 12TH ST / W CORNHUSKER,27111,26111,0,0,1,C3-000813,127,1/4/2023,WED,1/4/2023,127,WED,1/4/2023,127,0,0,127
1500 BLOCK S 19TH ST,5222,0,0,0,83,C3-000815,217,1/4/2023,WED,1/4/2023,130,WED,1/4/2023,217,0,0,128
2400 BLOCK A STREET ST,42000,13000,0,0,83,C3-000816,221,1/4/2023,TUE,1/3/2023,2100,WED,1/4/2023,221,0,700,129
3100 BLOCK R ST,27111,0,0,0,80,C3-000818,231,1/4/2023,WED,1/4/2023,231,,,231,0,0,130
LYNCREST DR / O ST,27111,26111,0,0,1,C3-000825,303,1/4/2023,WED,1/4/2023,303,,,303,0,0,131
1600 BLOCK C ST,27444,0,0,0,84,C3-000826,342,1/4/2023,WED,1/4/2023,330,WED,1/4/2023,342,0,0,132
600 BLOCK OREGON TRL,5222,0,0,0,82,C3-000830,420,1/4/2023,WED,1/4/2023,200,WED,1/4/2023,420,0,0,133
6800 BLOCK NW TEMPEST DR,13000,0,0,0,80,C3-000839,554,1/4/2023,WED,1/4/2023,0,WED,1/4/2023,554,0,0,134
1200 BLOCK SYCAMORE DR,54333,27111,14400,26111,80,C3-000850,728,1/4/2023,WED,1/4/2023,700,WED,1/4/2023,728,0,0,135
2300 BLOCK OLD GLORY RD,23500,0,0,0,80,C3-000853,747,1/4/2023,TUE,1/3/2023,1630,WED,1/4/2023,747,0,0,136
3600 BLOCK N 20TH ST,27000,0,0,0,28,C3-000871,916,1/4/2023,WED,1/4/2023,916,,,916,0,0,137
1000 BLOCK S 37TH ST,42000,8222,0,0,88,C3-000875,924,1/4/2023,TUE,12/20/2022,1500,WED,1/4/2023,924,0,500,138
2300 BLOCK OLD GLORY RD,23500,0,0,0,80,C3-000877,926,1/4/2023,TUE,1/4/2022,359,,,926,0,0,139
2000 BLOCK S 10TH ST,42000,0,0,0,35,C3-000879,930,1/4/2023,WED,1/4/2023,930,,,930,0,1100,140
2700 BLOCK S 22ND ST,5222,0,0,0,89,C3-000882,841,1/4/2023,WED,1/4/2023,800,WED,1/4/2023,841,0,0,141
3000 BLOCK PINE LAKE RD,23300,0,0,0,26,C3-000883,943,1/4/2023,WED,1/4/2023,930,WED,1/4/2023,943,0,0,142
2800 BLOCK WOODS BLVD,42000,0,0,0,84,C3-000885,956,1/4/2023,TUE,1/3/2023,2100,WED,1/4/2023,956,0,10,143
200 BLOCK GARBER AVE,9522,0,0,0,81,C3-000892,1043,1/4/2023,TUE,1/3/2023,1500,TUE,1/3/2023,1043,0,0,144
4700 BLOCK N 27TH ST,23300,0,0,0,17,C3-000895,1055,1/4/2023,WED,1/4/2023,1030,WED,1/4/2023,1055,0,0,145
2600 BLOCK WHITEHEAD DR,54111,0,0,0,15,C3-000901,1125,1/4/2023,FRI,1/1/2021,0,WED,1/4/2023,1125,0,0,146
2500 BLOCK WILDCAT DR,41000,0,0,0,15,C3-000905,1159,1/4/2023,TUE,12/6/2022,2355,SAT,12/31/2022,1159,0,0,147
4200 BLOCK NW 49TH ST,9522,0,0,0,80,C3-000907,1208,1/4/2023,TUE,12/20/2022,1500,SAT,12/24/2022,1208,0,0,148
1700 BLOCK N 27TH ST,25211,0,0,0,80,C3-000908,1215,1/4/2023,,1/3/2023,920,,,1215,0,0,149
CITY OF LINCOLN,29300,0,0,0,69,C3-000910,1213,1/4/2023,TUE,1/3/2023,1,WED,1/4/2023,1213,0,0,150
INTERNET,29300,0,0,0,69,C3-000183,1628,1/1/2023,MON,12/26/2022,1130,SUN,1/1/2023,1628,0,0,151
2600 BLOCK S 48TH ST,29300,0,0,0,24,C3-000184,1628,1/1/2023,MON,12/26/2022,1130,SUN,1/1/2023,1628,0,0,152
S 10TH ST / G ST,27111,26111,0,0,1,C3-000197,1643,1/1/2023,SUN,1/1/2023,1643,,,1643,0,0,153
1600 BLOCK SW LACEY LN,25211,0,0,0,80,C3-000204,1734,1/1/2023,,1/1/2023,1700,,,1734,0,0,154
900 BLOCK OAK ST,27111,24244,26111,0,86,C3-000208,1703,1/1/2023,SUN,1/1/2023,1605,SUN,1/1/2023,1703,0,0,155
INTERNET,29300,0,0,0,69,C3-000215,1813,1/1/2023,SAT,12/31/2022,1,,,1813,0,0,156
1700 BLOCK N 27TH ST,25211,0,0,0,80,C3-000218,1835,1/1/2023,,1/1/2023,1830,,,1835,0,0,157
2700 BLOCK L ST,27111,26111,0,0,2,C3-000220,1824,1/1/2023,SUN,1/1/2023,1824,SUN,1/1/2023,1824,0,0,158
2800 BLOCK S 47TH ST,56366,0,0,0,76,C3-000226,1919,1/1/2023,SUN,1/1/2023,1919,,,1919,0,0,159
1600 BLOCK FOLSOM ST,29600,0,0,0,84,C3-000233,1957,1/1/2023,TUE,12/27/2022,1200,SUN,1/1/2023,1957,0,0,160
800 BLOCK S 47TH ST,54111,0,0,0,84,C3-000239,2033,1/1/2023,SUN,12/11/2022,1,SUN,1/1/2023,2033,0,0,161
S 27TH ST / RANDOLPH ST,27111,0,0,0,1,C3-000242,2031,1/1/2023,SUN,1/1/2023,2030,SUN,1/1/2023,2031,0,0,162
800 BLOCK W ALLISON CT,5222,0,0,0,81,C3-000252,2147,1/1/2023,SUN,1/1/2023,2130,SUN,1/1/2023,2147,0,0,163
3100 BLOCK N 35TH ST,42000,0,0,0,81,C3-000254,2155,1/1/2023,FRI,12/30/2022,2000,SUN,1/1/2023,2155,0,150,164
2900 BLOCK N 44TH ST,25211,0,0,0,80,C3-000263,2301,1/1/2023,,1/1/2023,2230,,,2301,0,0,165
700 BLOCK SUMNER ST,41000,0,0,0,1,C3-000264,2235,1/1/2023,SUN,1/1/2023,2220,SUN,1/1/2023,2235,0,0,166
INTERNET,61000,0,0,0,69,C3-000268,2327,1/1/2023,SUN,1/1/2023,2115,,,2327,0,0,167
600 BLOCK S 18TH ST,12000,0,0,0,84,C3-000270,2331,1/1/2023,SUN,1/1/2023,2325,SUN,1/1/2023,2331,0,0,168
1600 BLOCK PROSPECT ST,5222,0,0,0,84,C3-000278,2349,1/1/2023,SUN,1/1/2023,2340,SUN,1/1/2023,2349,0,0,169
1700 BLOCK N 27TH ST,9522,0,0,0,80,C3-000281,23,1/2/2023,MON,1/2/2023,10,MON,1/2/2023,23,0,0,170
3500 BLOCK N 44TH ST,5333,0,0,0,15,C3-000288,115,1/2/2023,MON,1/2/2023,100,MON,1/2/2023,115,0,0,171
800 BLOCK S 47TH ST,25211,0,0,0,80,C3-000289,117,1/2/2023,,1/2/2023,100,,,117,0,0,172
1700 BLOCK A ST,37000,0,0,0,83,C3-000291,47,1/2/2023,MON,1/2/2023,10,MON,1/2/2023,47,0,0,173
5600 BLOCK CORNHUSKER HWY,42000,12000,0,0,86,C3-000292,125,1/2/2023,MON,1/2/2023,115,MON,1/2/2023,125,0,1030,174
2900 BLOCK NW 12TH ST,27111,26111,0,0,1,C3-000293,129,1/2/2023,MON,1/2/2023,129,,,129,0,0,175
NW 12 / W ADAMS,27111,26111,0,0,1,C3-000296,159,1/2/2023,MON,1/2/2023,159,,,159,0,0,176
2800 BLOCK NW 3rd ST,25211,0,0,0,81,C3-000298,209,1/2/2023,,1/2/2023,100,,,209,0,0,177
900 BLOCK S 27 ST,27111,26111,0,0,36,C3-000303,309,1/2/2023,MON,1/2/2023,309,,,309,0,0,178
2400 BLOCK Y ST,9000,0,0,0,80,C3-000307,504,1/2/2023,MON,1/2/2023,504,,,504,0,0,179
2600 BLOCK N 63RD ST,25211,0,0,0,90,C3-000309,635,1/2/2023,,12/14/2023,1400,,,635,0,0,180
2100 BLOCK N 27TH ST,5333,0,0,0,1,C3-000314,709,1/2/2023,MON,1/2/2023,645,MON,1/2/2023,709,0,0,181
1700 BLOCK S 77TH ST,23500,0,0,0,80,C3-000318,801,1/2/2023,SUN,1/1/2023,1930,MON,1/2/2023,801,0,0,182
1900 BLOCK GARFIELD ST,42000,0,0,0,80,C3-000329,1027,1/2/2023,SAT,1/1/2022,1509,SAT,1/1/2022,1027,0,100,183
7100 BLOCK STEPHANIE LN,23500,0,0,0,28,C3-000333,1050,1/2/2023,MON,1/2/2023,800,MON,1/2/2023,1050,0,0,184
3400 BLOCK NW 12TH ST,41000,0,0,0,86,C3-000334,1059,1/2/2023,MON,1/2/2023,1030,MON,1/2/2023,1059,0,0,185
100 BLOCK S 18TH ST,42000,0,0,0,84,C3-000335,1055,1/2/2023,SUN,1/1/2023,1700,SUN,1/1/2023,1055,0,100,186
5900 BLOCK KEARNEY AVE,25111,0,0,0,80,C3-000336,1106,1/2/2023,,12/31/2022,1400,,,1106,0,0,187
200 BLOCK E ST,41000,0,0,0,80,C3-000338,1106,1/2/2023,SUN,1/1/2023,2100,MON,1/2/2023,1106,0,0,188
3900 BLOCK N 26TH ST,6000,0,0,0,84,C3-000339,1115,1/2/2023,SUN,1/1/2023,2000,MON,1/2/2023,1115,0,300,189
3800 BLOCK N 20TH ST,42000,0,0,0,80,C3-000341,1129,1/2/2023,SUN,1/1/2023,2000,MON,1/2/2023,1129,0,5,190
300 BLOCK N 35 ST #2,24000,0,0,0,84,C3-000343,1137,1/2/2023,THU,12/29/2022,1200,MON,1/2/2023,1137,0,0,191
1000 BLOCK H ST,5222,0,0,0,84,C3-000345,1138,1/2/2023,SUN,1/2/2022,1100,SUN,1/2/2022,1138,0,0,192
300 BLOCK S. 27TH ST,9000,0,0,0,80,C3-000347,1146,1/2/2023,SUN,12/18/2022,1500,SUN,12/18/2022,1146,0,0,193
