ADDRESS,INC1,INC2,INC3,INC4,LOC_CODE,CASE_NUMBER,TIME,DATE,DAY_FROM,DATE_FROM,TIME_FROM,DAY_TO,DATE_TO,TIME_TO,LOSS,DAMG,ObjectId
4100 BLOCK ADAMS ST,25211,0,0,0,80,C3-041799,1749,5/17/2023,,5/17/2023,1755,,,1749,0,0,11109
700 BLOCK W SAUNDERS AVE,5222,0,0,0,2,C3-041489,1918,5/16/2023,TUE,5/16/2023,1850,TUE,5/16/2023,1918,0,0,11110
5200 BLOCK S 40TH ST,12000,0,0,0,84,C3-041100,1553,5/15/2023,MON,5/15/2023,1030,,,1553,0,0,11111
4400 BLOCK CORNHUSKER HWY,25111,0,0,0,1,C3-040671,751,5/14/2023,,5/13/2023,1600,,,751,0,0,11112
4100 BLOCK BALDWIN AVE,5222,0,0,0,84,C3-041993,927,5/18/2023,THU,5/18/2023,920,THU,5/18/2023,927,0,0,11113
1300 BLOCK N 27TH ST,29600,0,0,0,2,C3-041802,1631,5/17/2023,WED,5/17/2023,1059,WED,5/17/2023,1631,0,0,11114
200 BLOCK NW 16TH ST,5222,0,0,0,80,C3-041493,1944,5/16/2023,MON,5/15/2023,2200,MON,5/15/2023,1944,0,0,11115
7100 BLOCK NW 19TH ST,9522,0,0,0,80,C3-041103,1629,5/15/2023,MON,5/15/2023,1500,,,1629,0,0,11116
7100 BLOCK PLATTE AVE,23500,0,0,0,80,C3-040674,812,5/14/2023,SUN,5/14/2023,400,SUN,5/14/2023,812,0,0,11117
500 BLOCK W CORNHUSKER HWY,29300,0,0,0,36,C3-041994,929,5/18/2023,THU,5/18/2023,511,,,929,0,0,11118
4700 BLOCK N 27TH ST,29300,0,0,0,17,C3-041812,1819,5/17/2023,WED,5/17/2023,1730,WED,5/17/2023,1819,0,0,11119
1600 BLOCK D ST,9300,0,0,0,84,C3-041497,2000,5/16/2023,TUE,5/16/2023,1945,TUE,5/16/2023,2000,0,0,11120
8900 BLOCK ANDERMATT DR,23300,0,0,0,17,C3-041107,1554,5/15/2023,MON,5/15/2023,1430,MON,5/15/2023,1554,0,0,11121
2800 BLOCK S ST,23500,0,0,0,80,C3-040676,826,5/14/2023,SAT,5/13/2023,2100,SUN,5/14/2023,826,0,0,11122
6900 BLOCK A ST,61000,0,0,0,97,C3-041998,911,5/18/2023,SAT,5/13/2023,1200,,,911,0,0,11123
2400 BLOCK SW 13TH ST,23500,0,0,0,80,C3-041814,1738,5/17/2023,TUE,5/16/2023,1830,WED,5/17/2023,1738,0,0,11124
1400 BLOCK K ST,31100,0,0,0,74,C3-041504,2013,5/16/2023,TUE,5/16/2023,1950,TUE,5/16/2023,2013,0,0,11125
5000 BLOCK ORCHARD ST,9300,0,0,0,88,C3-041108,1643,5/15/2023,MON,5/15/2023,1538,MON,5/15/2023,1643,0,0,11126
3500 BLOCK N 48TH ST,5222,0,0,0,36,C3-040679,902,5/14/2023,SAT,5/13/2023,1500,SAT,5/13/2023,902,0,0,11127
2700 BLOCK N 33RD ST,23600,42000,0,0,15,C3-042000,947,5/18/2023,SAT,3/18/2023,1,THU,5/18/2023,947,0,300,11128
CITY OF LINCOLN,29510,0,0,0,69,C3-041815,1820,5/17/2023,TUE,5/16/2023,1800,TUE,5/16/2023,1820,0,0,11129
1600 BLOCK SW LACEY LN,25211,0,0,0,80,C3-041511,1921,5/16/2023,,5/16/2023,1905,,,1921,0,0,11130
2300 BLOCK STOCKWELL ST,25211,0,0,0,80,C3-041116,1708,5/15/2023,,5/15/2023,1608,,,1708,0,0,11131
2800 BLOCK S ST,23500,0,0,0,80,C3-040680,909,5/14/2023,SAT,5/13/2023,2100,SUN,5/14/2023,909,0,0,11132
5200 BLOCK N 11TH ST,29510,0,0,0,99,C3-041818,1846,5/17/2023,FRI,5/12/2023,800,TUE,5/16/2023,1846,0,0,11133
1500 BLOCK SUPERIOR ST,5222,0,0,0,10,C3-042001,952,5/18/2023,MON,5/15/2023,1505,MON,5/15/2023,952,0,0,11134
1600 BLOCK DENBY PL,5222,0,0,0,80,C3-041121,1758,5/15/2023,MON,5/15/2023,1700,MON,5/15/2023,1758,0,0,11135
7400 BLOCK TALLGRASS PKWY,5222,0,0,0,84,C3-041512,2030,5/16/2023,TUE,5/16/2023,1830,TUE,5/16/2023,2030,0,0,11136
1000 BLOCK W SOUTH ST,25211,0,0,0,80,C3-040686,915,5/14/2023,,5/14/2023,1,,,915,0,0,11137
4200 BLOCK HUNTINGTON AVE,42000,0,0,0,83,C3-042004,1003,5/18/2023,TUE,5/16/2023,800,WED,5/17/2023,1003,0,200,11138
1800 BLOCK B ST,25211,0,0,0,83,C3-041129,1752,5/15/2023,,5/15/2023,1400,,,1752,0,0,11139
5100 BLOCK EMERALD DR,5222,9000,0,0,84,C3-041513,2021,5/16/2023,TUE,5/16/2023,930,TUE,5/16/2023,2021,0,0,11140
2801 NW 1ST ST,5222,0,0,0,10,C3-041821,1842,5/17/2023,WED,5/17/2023,1800,WED,5/17/2023,1842,0,0,11141
3700 BLOCK D ST,5111,0,0,0,80,C3-040688,939,5/14/2023,SUN,5/14/2023,919,,,939,0,0,11142
5700 BLOCK BIG HORN DR,12000,0,0,0,80,C3-042007,926,5/18/2023,WED,5/17/2023,2000,WED,5/17/2023,926,0,0,11143
N 48TH ST / CORNHUSKER HWY JUS,23900,0,0,0,1,C3-041130,1754,5/15/2023,FRI,5/12/2023,1800,MON,5/15/2023,1754,0,0,11144
1000 BLOCK SAUNDERS AVE,5222,0,0,0,3,C3-041514,2010,5/16/2023,TUE,5/16/2023,2010,,,2010,0,0,11145
3100 BLOCK S 72ND ST,23900,0,0,0,84,C3-041824,1824,5/17/2023,TUE,5/16/2023,1357,TUE,5/16/2023,1824,0,0,11146
