ADDRESS,RD,INC_,TYPE_CODE,CALL_TYPE,LOC_CODE,CASE_NUMBER,TIME,DATE,DAY_FROM,DATE_FROM,TIME_FROM,DAY_TO,DATE_TO,TIME_TO,LOSS,DAMG,FID
2500 BLOCK OF CORNHUSKER HWY,122,42000,9400,VANDALISM,86,B6-024522,1301,2016/03/23 00:00:00+00,THU,2016/03/10 00:00:00+00,1000,WED,2016/03/23 00:00:00+00,1000,0,200,6718
600 BLOCK OF SOUTH ST,92,23600,6403,LAA $1-49,25,B6-024464,905,2016/03/23 00:00:00+00,WED,2014/01/01 00:00:00+00,700,WED,2016/03/23 00:00:00+00,900,10,0,6719
800 BLOCK OF S 8TH ST,87,12000,0,DISTURBNCE,90,B6-024242,1614,2016/03/22 00:00:00+00,TUE,2016/03/22 00:00:00+00,1530,TUE,2016/03/22 00:00:00+00,1614,0,0,6720
1900 BLOCK OF J ST,68,5100,4152,ASLT NO WEAP,84,B6-025596,1138,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,1118,,,,0,0,6721
2500 BLOCK OF DUDLEY ST,16,42100,9400,VANDALISM,80,B6-024651,1929,2016/03/23 00:00:00+00,SAT,2016/03/19 00:00:00+00,0,WED,2016/03/23 00:00:00+00,1700,0,20,6722
6100 BLOCK OF COLFAX ST,36,12000,0,DISTURBNCE,1,B6-024434,705,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,645,,,,0,0,6723
8000 BLOCK OF COOPER AVE,182,42000,9400,VANDALISM,80,B6-024128,842,2016/03/22 00:00:00+00,MON,2016/03/21 00:00:00+00,1900,TUE,2016/03/22 00:00:00+00,730,0,30,6724
2000 BLOCK OF GARFIELD ST,114,9000,7500,CHILD A/N,84,B6-025581,942,2016/03/27 00:00:00+00,FRI,2016/01/01 00:00:00+00,300,FRI,2016/01/01 00:00:00+00,400,0,0,6725
2500 BLOCK OF GRAINGER PKY,174,23300,6203,LSL $1-49,17,B6-024473,952,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,644,WED,2016/03/23 00:00:00+00,652,10,0,6726
2700 BLOCK OF A ST,598,23500,6302,LFA $50-199,84,B6-024502,1126,2016/03/23 00:00:00+00,TUE,2016/03/22 00:00:00+00,2000,WED,2016/03/23 00:00:00+00,1100,177,0,6727
2700 BLOCK OF F ST,564,6000,5122,BURG RN NFE,80,B6-024682,2228,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,2215,WED,2016/03/23 00:00:00+00,2228,25,0,6728
2700 BLOCK OF VAN DORN ST,599,23900,6903,LAR $1-49,80,B6-024587,1539,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,915,WED,2016/03/23 00:00:00+00,945,38,0,6729
2700 BLOCK OF W ST,29,37000,3404,ROB NO WEAP,36,B6-024400,149,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,143,WED,2016/03/23 00:00:00+00,145,87,0,6730
2900 BLOCK OF NW 12TH ST,139,25111,9500,MS PERS,86,B6-024614,1714,2016/03/23 00:00:00+00,,2016/03/23 00:00:00+00,600,,,,0,0,6731
2900 BLOCK OF PINE LAKE ST,178,29500,9100,FRAUD,17,B6-024559,1511,2016/03/23 00:00:00+00,MON,2016/02/01 00:00:00+00,1,THU,2016/02/25 00:00:00+00,2359,0,0,6732
300 BLOCK OF BRUCE DR,52,5000,4152,ASLT NO WEAP,80,B6-024586,1530,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,700,WED,2016/03/23 00:00:00+00,800,0,0,6733
300 BLOCK OF C ST,91,27000,8600,NARCOTICS,3,B6-024637,1830,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,1500,WED,2016/03/23 00:00:00+00,1830,0,0,6734
300 BLOCK OF N 32ND ST,31,5100,4152,ASLT NO WEAP,83,B6-024576,1555,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,1545,WED,2016/03/23 00:00:00+00,1554,0,0,6735
300 BLOCK OF N 33RD ST,31,9700,7500,CHILD A/N,80,B6-024683,2219,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,1900,WED,2016/03/23 00:00:00+00,2200,0,0,6736
300 BLOCK OF N COTNER BLVD,36,40166,0,LIC CHECK,24,B6-024485,1044,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,1044,,,,0,0,6737
3000 BLOCK OF STARR ST,83,25111,9500,MS PERS,84,B6-024557,1420,2016/03/23 00:00:00+00,,2016/03/19 00:00:00+00,1930,,,,0,0,6738
3000 BLOCK OF VINE ST,29,29100,9100,FRAUD,80,B6-024500,1122,2016/03/23 00:00:00+00,WED,2016/03/16 00:00:00+00,0,WED,2016/03/23 00:00:00+00,1100,0,0,6739
3000 BLOCK OF VINE ST,29,6000,5113,BURG RU FE,80,B6-024510,1226,2016/03/23 00:00:00+00,WED,2016/03/16 00:00:00+00,0,WED,2016/03/23 00:00:00+00,1100,75,15,6740
