VDAT,AGE,RACE,SEX,VTIM,TICK_,CHGNO,RKY,ONST,ATST,BTST,CITED,CHARGED,CB,ObjectId
2019/03/04 00:00:00+00,17,H,M,1524,LB622318,1,B9-019184,S 33,M,N,2112,NEGLIGENT DRIVING,C,9144
2019/03/04 00:00:00+00,17,H,M,1524,LB622318,2,B9-019184,S 33,M,N,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,9145
2019/03/05 00:00:00+00,23,W,F,25,LB625831,1,,10,O,-,2167,IMPROPER REGISTRATION,C,9146
2019/03/04 00:00:00+00,41,W,F,1345,LB626282,1,B9-019151,S 14,PIONEERS,NEBR HWY,2112,NEGLIGENT DRIVING,C,9147
2019/03/04 00:00:00+00,41,W,M,2225,LB623383,1,,O,29,27,2167,IMPROPER REGISTRATION,C,9148
2019/03/04 00:00:00+00,30,W,M,0,LB623384,1,B9-019001,1588 S COTNER,-,-,1309,INJURE OR DESTROY PROPERTY OF ANOTHER,C,9149
2019/03/04 00:00:00+00,30,W,M,0,LB623384,2,B9-019001,1588 S COTNER,-,-,1303,DISTURBING THE PEACE,C,9150
2019/02/18 00:00:00+00,24,W,M,1015,LB624953,1,B9-014572,6133 NW 2 CIR #,-,-,12095,CHILD ABUSE-NEG/SERIOUS INJURY,B,9151
2019/03/04 00:00:00+00,25,B,M,2221,LB625072,1,B9-019307,S 56,S 48,NEBR HWY,2195,BROKEN OR WHITE TAIL LIGHT,C,9152
2019/03/04 00:00:00+00,25,B,M,2221,LB625072,2,B9-019307,S 56,S 48,NEBR HWY,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,9153
2019/03/04 00:00:00+00,25,B,M,2221,LB625072,3,B9-019307,S 56,S 48,NEBR HWY,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,9154
2019/03/04 00:00:00+00,25,B,M,2221,LB625072,4,B9-019307,S 56,S 48,NEBR HWY,2167,IMPROPER REGISTRATION,C,9155
2019/03/05 00:00:00+00,39,W,M,715,LB492273,1,B9-019359,2326 C #3,-,-,11907,DOMESTIC ASSAULT-3RD DEGREE,B,9156
2019/03/04 00:00:00+00,20,W,M,1205,LB622242,1,B9-019111,O,26,25,2112,NEGLIGENT DRIVING,C,9157
2019/03/04 00:00:00+00,77,W,M,1058,LB625961,1,,S 40,PINE LAKE,-,2167,IMPROPER REGISTRATION,C,9158
2019/03/05 00:00:00+00,36,B,M,1023,2019001671,1,,I80,MM 390,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,9159
2019/03/04 00:00:00+00,20,I,M,1647,LB620934,1,B9-019219,6100 O,-,-,12309,THEFT BY SHOPLIFTING $0-$500,C,9160
2019/03/05 00:00:00+00,44,H,M,1023,LB617459,1,,N 1,CORNHUSKER,CHARLESTON,2087,VIOLATE SPEED LIMIT 21-35 OVER,C,9161
2019/03/05 00:00:00+00,33,H,M,923,LB570050,2,,S 40,GRAINGER,SAN MATEO,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,9162
2019/03/05 00:00:00+00,32,W,M,906,LB570049,1,,S 40,GRAINGER,SAN MATEO,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9163
2019/03/05 00:00:00+00,48,B,M,831,LB570048,1,,PINE LAKE,BEAVER CREEK,S 56,2167,IMPROPER REGISTRATION,C,9164
2019/03/05 00:00:00+00,31,W,M,1103,LB295926,1,,S 27,JAMIE,GRAINGER,2167,IMPROPER REGISTRATION,C,9165
2019/03/05 00:00:00+00,28,W,F,1125,LB295927,1,,VAN DORN,HWY 77,PARK BLVD,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9166
2019/03/05 00:00:00+00,27,W,M,1302,LB295928,1,,ROSA PARKS,S 9,FOLSOM,1685,VIOLATE SPEED LIMIT 16 - 20 OVER,C,9167
2019/03/05 00:00:00+00,27,W,M,1302,LB295928,2,,ROSA PARKS,S 9,FOLSOM,1556,OCCUPANT PROTECTION SYSTEM,C,9168
2019/03/05 00:00:00+00,28,W,M,1311,LB295929,1,,ROSA PARKS WAY,S 9,FOLSOM,2087,VIOLATE SPEED LIMIT 21-35 OVER,C,9169
2019/03/05 00:00:00+00,18,A,M,1331,LB295930,1,,ROSA PARKS WAY,FOLSOM,HWY 77,1683,VIOLATE SPEED LIMIT 6 - 10 OVER,C,9170
2019/03/05 00:00:00+00,16,W,M,1440,LB625991,1,B9-019477,S 42,JACQUELYN,-,1350,DRIVE TOO FAST FOR THE CONDITIONS,C,9171
2019/03/05 00:00:00+00,22,B,F,739,LB621633,1,B9-019358,N 68,AYLESWORTH,-,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,9172
2019/03/05 00:00:00+00,25,W,M,1814,LB598465,1,B9-019540,1800 N 31,-,-,11907,DOMESTIC ASSAULT-3RD DEGREE,B,9173
2019/03/05 00:00:00+00,25,W,M,1814,LB598465,2,B9-019540,1800 N 31,-,-,10054,POSSESS DRUG PARAPHERNALIA,B,9174
2019/03/05 00:00:00+00,25,W,M,1814,LB598465,3,B9-019540,1800 N 31,-,-,12351,CRIMINAL MISCHIEF $0-500,B,9175
2019/03/05 00:00:00+00,41,B,F,739,LB621632,1,B9-019358,N 68,AYLESWORTH,-,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,9176
2019/03/05 00:00:00+00,42,A,M,12,LB621210,1,,CORNHUSKER,N 43,N 41,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9177
2019/03/05 00:00:00+00,42,A,M,12,LB621210,2,,CORNHUSKER,N 43,N 41,2229,OPERATE A MTR VEH W/O LICENSE ON PERSON,C,9178
2019/02/28 00:00:00+00,18,W,M,1734,LB624623,1,B9-017772,1531 SW LACEY,-,-,1361,BACKING MOTOR VEHICLE WITHOUT SAFETY,C,9179
2019/03/05 00:00:00+00,23,W,F,1801,LB625086,1,B9-019542,3201 S CODDINGT,PIONEERS PARK,-,2120,POSSESS MARIJUANA 1 OZ OR LESS/1ST,C,9180
2019/03/05 00:00:00+00,23,W,F,1801,LB625086,2,B9-019542,3201 S CODDINGT,PIONEERS PARK,-,2119,POSSESS DRUG PARAPHERNALIA,C,9181
2019/03/05 00:00:00+00,52,B,M,2220,LB623230,1,B9-019601,S 13,ROSE,A,1898,"SUSPENDED LICENSE, ELIGIBLE",B,9182
2019/03/06 00:00:00+00,37,W,M,130,LB621535,1,B9-019619,3801 W O,-,-,11092,MANU/DELV/POSS CONTR SUBST W/INTENT TO DELVR,B,9183
2019/02/23 00:00:00+00,37,W,M,240,LB621534,1,B9-015623,4624 GREENWOOD,-,-,11088,POSS CONTROLLED SUBSTANCE,B,9184
2019/02/23 00:00:00+00,37,W,M,240,LB621534,2,B9-015623,4624 GREENWOOD,-,-,11091,DEL/POSS W/INTENT TO DELIVER (HAZ DRUG),B,9185
2019/03/05 00:00:00+00,49,B,M,2030,LB627403,1,B9-019608,1330 S 48,-,-,11907,DOMESTIC ASSAULT-3RD DEGREE,B,9186
2019/03/05 00:00:00+00,31,W,M,2238,LB628176,1,B9-019598,1602 SOUTH,-,-,11088,POSS CONTROLLED SUBSTANCE,B,9187
2019/03/05 00:00:00+00,31,W,M,2238,LB628176,2,B9-019598,1602 SOUTH,-,-,10054,POSSESS DRUG PARAPHERNALIA,B,9188
2019/03/05 00:00:00+00,57,I,M,2314,LB626805,1,B9-019605,1709 WASHINGTON,-,-,2037,LOITER AND TRESPASS,B,9189
2019/03/04 00:00:00+00,21,H,F,2017,LB621370,1,B9-019284,N 84,HAVELOCK,FREMONT,2112,NEGLIGENT DRIVING,C,9190
2019/03/05 00:00:00+00,17,U,F,1515,LB623714,1,B9-019488,CLAIRE,CRESTHAVEN,WOODHAVEN,1342,FOLLOWING ANOTHER VEHICLE TOO CLOSELY,C,9191
2019/03/06 00:00:00+00,21,W,M,47,LB624357,1,B9-019617,YOLANDE,CORNHUSKER,-,1898,"SUSPENDED LICENSE, ELIGIBLE",C,9192
2019/03/06 00:00:00+00,21,W,M,47,LB624357,2,B9-019617,YOLANDE,CORNHUSKER,-,2181,OPERATE M/V W/O HEADLIGHTS/TAILLIGHTS,C,9193
2019/03/05 00:00:00+00,30,W,M,1705,LB627318,1,B9-019522,O,RUSSWOOD,CHERRY HILL,1333,FAIL TO YIELD TO VEHICLE,C,9194
2019/03/05 00:00:00+00,26,W,F,2325,LB624356,1,B9-019610,SAUNDERS,N ANTELOPE VALL,-,1898,"SUSPENDED LICENSE, ELIGIBLE",C,9195
2019/03/05 00:00:00+00,26,W,F,2325,LB624356,2,B9-019610,SAUNDERS,N ANTELOPE VALL,-,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,9196
2019/03/05 00:00:00+00,58,W,F,1920,LB623738,1,B9-019553,N 14,SUPERIOR,-,1333,FAIL TO YIELD TO VEHICLE,C,9197
2019/03/05 00:00:00+00,20,W,M,1629,LB620812,1,B9-019507,N 60,LEIGHTON,COLBY,1350,DRIVE TOO FAST FOR THE CONDITIONS,C,9198
2019/03/05 00:00:00+00,20,W,M,1629,LB620812,2,B9-019507,N 60,LEIGHTON,COLBY,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,9199
2019/03/05 00:00:00+00,29,B,F,421,LB627063,1,B9-019346,200 BLK N 9,-,-,1898,"SUSPENDED LICENSE, ELIGIBLE",C,9200
2019/03/07 00:00:00+00,28,W,F,729,LB622408,1,B9-019994,14,O,-,2112,NEGLIGENT DRIVING,C,9201
2019/03/07 00:00:00+00,55,H,F,1326,2019001731,1,,3801 W O,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,9202
2019/03/03 00:00:00+00,31,W,M,202,LB627384,1,B9-018752,2020 F,-,-,1874,"DRIVING UNDER INFLUENCE/.08, FIRST OFFENSE",C,9203
2019/03/03 00:00:00+00,31,W,M,202,LB627384,2,B9-018752,2020 F,-,-,1350,DRIVE TOO FAST FOR THE CONDITIONS,C,9204
2019/03/06 00:00:00+00,24,W,M,1249,LB624462,1,B9-019735,3030 PINE LAKE,SCHEELS,-,2228,STEAL GOODS OR MONEY < $500,C,9205
2019/03/06 00:00:00+00,31,B,M,18,LB622103,3,B9-019615,S 8,N,-,2167,IMPROPER REGISTRATION,C,9206
2019/03/05 00:00:00+00,22,W,M,1055,LB617719,1,,ST PAUL,N 48,N 49,10874,WINDOW TINT VIEW VIOLATION,C,9207
2019/03/05 00:00:00+00,30,H,M,1534,LB622244,1,B9-019493,VINE,N 32,N 33,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,9208
2019/03/05 00:00:00+00,22,W,M,1055,LB617719,2,,ST PAUL,N 48,N 49,11556,NO LICENSE ON PERSON,C,9209
2019/03/05 00:00:00+00,19,W,M,1634,LB622335,1,B9-019511,S 18,M,-,1333,FAIL TO YIELD TO VEHICLE,C,9210
2019/03/05 00:00:00+00,22,W,M,1055,LB617719,3,,ST PAUL,N 48,N 49,11586,NO VALID REGISTRATION,C,9211
2019/03/04 00:00:00+00,56,W,M,1524,LB622183,1,B9-019185,Q,N 14,N 13,2112,NEGLIGENT DRIVING,C,9212
2019/03/07 00:00:00+00,63,W,M,959,LB295941,1,,W O,NW 19,CAPITOL BEACH,2167,IMPROPER REGISTRATION,C,9213
2019/03/05 00:00:00+00,54,W,M,1615,LB622016,1,B9-019504,O,12,11,2112,NEGLIGENT DRIVING,C,9214
2019/03/07 00:00:00+00,63,W,M,959,LB295941,2,,W O,NW 19,CAPITOL BEACH,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,9215
2019/03/05 00:00:00+00,20,W,F,1534,LB622243,1,B9-019493,VINE,N 32,N 33,2112,NEGLIGENT DRIVING,C,9216
2019/03/07 00:00:00+00,39,W,M,1122,LB295942,1,,ROSA PARKS WAY,S FOLSOM,S 9,2087,VIOLATE SPEED LIMIT 21-35 OVER,C,9217
2019/02/16 00:00:00+00,23,B,M,1000,XX2190114,1,B9-013940,,,,11907,DOMESTIC ASSAULT-3RD DEGREE,C,9218
2019/03/07 00:00:00+00,19,A,M,1314,LB295943,1,,ROSA PARKS WAY,S 9,S FOLSOM,2087,VIOLATE SPEED LIMIT 21-35 OVER,C,9219
2019/02/17 00:00:00+00,20,W,M,1006,LB625750,1,B9-014158,1645 A,-,-,12278,TERRORISTIC THREATS,B,9220
2019/03/07 00:00:00+00,19,A,M,1314,LB295943,2,,ROSA PARKS WAY,S 9,S FOLSOM,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,9221
2019/02/17 00:00:00+00,20,W,M,1006,LB625750,2,B9-014158,1645 A,-,-,9190,3RD DEG ASSAULT,B,9222
2019/03/07 00:00:00+00,21,U,F,1332,LB295944,1,,ROSA PARKS WAY,HOMESTEAD EXPWY,S FOLSOM,1685,VIOLATE SPEED LIMIT 16 - 20 OVER,C,9223
2019/02/17 00:00:00+00,20,W,M,1006,LB625750,3,B9-014158,1645 A,-,-,12351,CRIMINAL MISCHIEF $0-500,B,9224
2014/04/15 00:00:00+00,22,W,M,0,LB628226,1,B9-002045,641 S 28 #1,-,-,10061,1ST DEG SEXUAL ASSAULT ON CHILD,B,9225
2019/03/07 00:00:00+00,25,W,M,1339,LB295945,1,,S 9,K,J,2167,IMPROPER REGISTRATION,C,9226
2019/01/14 00:00:00+00,25,W,M,1935,LB624954,1,B9-004501,900 BLK H,-,-,9053,"SEXUAL ASSAULT, 3RD DEGREE",C,9227
2019/03/07 00:00:00+00,29,H,F,1100,LB580277,1,,S 8,SOUTH,-,2167,IMPROPER REGISTRATION,C,9228
2019/03/06 00:00:00+00,21,B,M,1415,2019001707,1,,605 S 10,-,-,678,ARRESTED ON DISTRICT WARRANT,B,9229
2019/03/07 00:00:00+00,23,H,M,1501,2019001735,1,,5321 W BENTON,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,9230
2019/03/06 00:00:00+00,71,W,M,1101,LB626939,1,B9-019706,S 14,PIONEERS,CENTER PARK,2112,NEGLIGENT DRIVING,C,9231
2019/03/07 00:00:00+00,30,W,M,1222,LB622591,2,B9-020145,1128 L,-,-,12351,CRIMINAL MISCHIEF $0-500,B,9232
2019/03/07 00:00:00+00,53,W,F,1106,LB624818,1,,W BOND,W COMMERCE WAY,NW 12,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,9233
2019/03/07 00:00:00+00,28,B,F,1335,LB625597,1,B9-020104,S 27,NEBR HWY,-,1344,CHANGE COURSE OF MOTOR VEHICLE W/O SAFETY,C,9234
2019/03/06 00:00:00+00,25,H,M,958,LB616367,1,B9-019683,VINE,N 43,N 40,1898,"SUSPENDED LICENSE, ELIGIBLE",C,9235
2019/03/06 00:00:00+00,25,H,M,958,LB616367,2,B9-019683,VINE,N 43,N 40,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9236
2019/03/06 00:00:00+00,32,B,M,747,LB616364,1,B9-019653,N 30,VINE,-,1898,"SUSPENDED LICENSE, ELIGIBLE",C,9237
2019/03/06 00:00:00+00,32,B,M,747,LB616364,2,B9-019653,N 30,VINE,-,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,9238
2019/03/06 00:00:00+00,22,W,F,837,LB616365,1,,VINE,N 43,N 40,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9239
2019/03/07 00:00:00+00,35,W,M,1707,2019001737,1,,3801 W O,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,9240
2019/03/06 00:00:00+00,51,W,M,1652,LB627459,1,B9-019831,CORNHUSKER,I180,N 11,1898,"SUSPENDED LICENSE, ELIGIBLE",C,9241
2019/02/27 00:00:00+00,19,B,M,309,LB621429,1,,4400 O,-,-,1898,"SUSPENDED LICENSE, ELIGIBLE",C,9242
2019/03/06 00:00:00+00,36,H,M,35,LB621427,1,B9-019635,N 34,HOLDREGE,-,1898,"SUSPENDED LICENSE, ELIGIBLE",C,9243
2019/03/07 00:00:00+00,43,W,M,1300,SF189542,1,B9001694,3400 NW 12TH,ROOM 131,,11088,POSS CONTROLLED SUBSTANCE,B,9244
2019/03/06 00:00:00+00,24,W,M,324,LB621019,1,B9-019629,N 56,HOLDREGE,-,1898,"SUSPENDED LICENSE, ELIGIBLE",C,9245
2019/03/06 00:00:00+00,24,W,M,324,LB621019,2,B9-019629,N 56,HOLDREGE,-,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,9246
2019/03/05 00:00:00+00,35,W,M,243,LB621426,1,B9-019340,66,O,-,1874,"DRIVING UNDER INFLUENCE/.08, FIRST OFFENSE",C,9247
2019/03/05 00:00:00+00,35,W,M,243,LB621426,2,B9-019340,66,O,-,2133,HAVE OPEN ALCOHOL CONTAINER,C,9248
2019/03/05 00:00:00+00,35,W,M,243,LB621426,3,B9-019340,66,O,-,1357,INTERFERE WITH USE OF STREET,C,9249
2019/03/07 00:00:00+00,18,W,M,846,LB458497,1,B9-020022,NEBR HWY,PIONEERS,S 13,1350,DRIVE TOO FAST FOR THE CONDITIONS,C,9250
2019/03/07 00:00:00+00,36,W,F,229,LB621040,1,B9-019965,N 49,ADAMS,-,2001,DUI/.08 1ST OFFENSE >.15,C,9251
2019/03/07 00:00:00+00,36,W,F,229,LB621040,2,B9-019965,N 49,ADAMS,-,2181,OPERATE M/V W/O HEADLIGHTS/TAILLIGHTS,C,9252
2019/03/07 00:00:00+00,57,W,M,1856,2019001740,1,,1501 N 27,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,9253
2019/03/07 00:00:00+00,49,W,F,1945,2019001741,1,,2838 FAIR,-,-,674,ARRESTED ON OUTSIDE AGENCY WARRANT-MSD,B,9254
2019/03/07 00:00:00+00,20,B,M,1949,2019001742,1,,1336 D,-,-,678,ARRESTED ON DISTRICT WARRANT,B,9255
2019/03/07 00:00:00+00,48,B,M,2212,2019001743,1,,575 S 10,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,9256
2019/03/08 00:00:00+00,35,H,F,2,2019001744,1,,2754 TORCHLIGHT,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,9257
2019/03/08 00:00:00+00,28,W,M,334,LB624332,1,B9-020293,875 N 27,-,-,11088,POSS CONTROLLED SUBSTANCE,B,9258
2019/03/08 00:00:00+00,28,W,M,334,LB624332,2,B9-020293,875 N 27,-,-,11081,"POSS MARIJUANA, LESS THAN 1 OZ - 2ND OFF",B,9259
2019/03/08 00:00:00+00,21,H,M,239,2019001746,1,,2300 S 16,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,9260
2019/03/08 00:00:00+00,40,W,M,348,2019001750,1,,110 NW 20,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,9261
2019/03/08 00:00:00+00,45,W,M,242,2019001747,1,,1501 W LANDER,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,9262
2019/01/11 00:00:00+00,38,H,M,1535,LB623567,1,B9-003000,8201 S 40,-,-,12312,"THEFT BY SHOPLIFTING $0-$500, 3RD/SUBSQ",B,9263
2019/03/08 00:00:00+00,33,W,M,244,2019001748,1,,S 5,GARFIELD,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,9264
2019/02/13 00:00:00+00,38,H,M,1717,LB623568,1,B9-013081,3030 PINE LAKE,-,-,9654,"CRIMINAL TRESPASS, 2ND DEG",C,9265
2019/03/07 00:00:00+00,30,W,M,1222,LB622591,1,B9-020145,1128 L,-,-,12075,VIOLATE PROTECTION ORDER,B,9266
2019/01/09 00:00:00+00,46,W,M,1923,LB628251,1,B9-002465,7547 BRUMMOND,-,-,9652,"CRIMINAL TRESPASS, 1ST DEG",C,9267
2019/03/06 00:00:00+00,16,W,F,745,LB624026,1,B9-019651,S 39,D,-,2112,NEGLIGENT DRIVING,C,9268
2019/03/06 00:00:00+00,74,W,M,720,LB627731,1,B9-019645,70,O,-,2112,NEGLIGENT DRIVING,C,9269
2019/03/06 00:00:00+00,18,W,M,1137,LB624408,1,B9-019714,I 180,I 80,-,2112,NEGLIGENT DRIVING,C,9270
2019/03/06 00:00:00+00,63,H,M,1024,LB624027,1,,CALVERT,S 51,S 53,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9271
2019/03/06 00:00:00+00,60,U,M,1117,LB624030,1,,CALVERT,S 51,S 53,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9272
2019/03/06 00:00:00+00,56,W,M,1058,LB624029,1,,CALVERT,S 51,S 53,1683,VIOLATE SPEED LIMIT 6 - 10 OVER,C,9273
2019/03/06 00:00:00+00,33,W,M,1402,LB620762,1,B9-019755,S 84,KARL RIDGE,SOUTH,2112,NEGLIGENT DRIVING,C,9274
2019/03/06 00:00:00+00,29,W,F,847,LB616366,1,,VINE,N 33,-,2167,IMPROPER REGISTRATION,C,9275
2019/03/07 00:00:00+00,25,B,F,2115,LB619590,2,B9-020229,C & D,S 20 & S 21,-,1777,"OBSTRUCT STREET, ALLEY, OR SIDEWALK",C,9276
2019/03/08 00:00:00+00,23,B,M,314,2019001749,1,,110 NW 20,-,-,676,ARRESTED ON COUNTY WARRANT-MSD,B,9277
2019/01/09 00:00:00+00,46,W,M,1923,LB628251,2,B9-002465,7547 BRUMMOND,-,-,12351,CRIMINAL MISCHIEF $0-500,C,9278
2019/03/08 00:00:00+00,46,B,M,4,2019001745,1,,2000 G,-,-,676,ARRESTED ON COUNTY WARRANT-MSD,B,9279
2019/01/09 00:00:00+00,46,W,M,1923,LB628251,3,B9-002465,7547 BRUMMOND,-,-,9522,DISTURBING THE PEACE,C,9280
2019/03/07 00:00:00+00,20,B,M,1949,LB626882,1,B9-020215,1336 D #7,-,-,11088,POSS CONTROLLED SUBSTANCE,B,9281
2019/03/08 00:00:00+00,33,B,F,1000,LB627479,1,,O,LYNCREST,66,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9282
2019/03/07 00:00:00+00,20,B,M,1949,LB626882,2,B9-020215,1336 D #7,-,-,11080,"POSS MARIJUANA, LESS THAN 1 OZ - 1ST OFF",B,9283
2019/03/08 00:00:00+00,54,W,M,905,LB627478,1,,S 70,SOUTH,SHAMROCK,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9284
2019/03/07 00:00:00+00,20,B,M,1949,LB626882,3,B9-020215,1336 D #7,-,-,10054,POSSESS DRUG PARAPHERNALIA,B,9285
2019/03/08 00:00:00+00,62,W,M,700,LB627477,1,,NEERPARK,S 56,COOPER,1685,VIOLATE SPEED LIMIT 16 - 20 OVER,C,9286
2019/03/07 00:00:00+00,45,I,M,1700,LB620092,1,B9-020166,1111 O,-,-,2037,LOITER AND TRESPASS,C,9287
2019/03/08 00:00:00+00,68,W,M,1205,LB627480,1,,S 27,SOUTH,EVERETT,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9288
2019/03/07 00:00:00+00,27,B,F,1650,LB623107,1,,K,ANTELOPE VALL,-,1345,FAIL TO SIGNAL TURN,C,9289
2019/03/06 00:00:00+00,17,W,M,1015,LB616368,1,,VINE,N 43,N 40,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9290
2019/03/07 00:00:00+00,45,I,M,1700,LB620092,2,B9-020166,1111 O,-,-,1303,DISTURBING THE PEACE,C,9291
2019/03/08 00:00:00+00,35,W,M,1305,LB627481,1,B9-020413,SOUTH,S 56,S 57,1333,FAIL TO YIELD TO VEHICLE,C,9292
2019/03/06 00:00:00+00,78,W,F,1041,LB624028,1,,CALVERT,S 51,S 53,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9293
2019/03/07 00:00:00+00,27,B,F,1650,LB623107,2,,K,ANTELOPE VALL,-,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,9294
2019/02/14 00:00:00+00,26,B,M,1816,LB623716,1,B9-013391,9200 HERITAGE,-,-,12351,CRIMINAL MISCHIEF $0-500,B,9295
2019/03/06 00:00:00+00,19,W,M,1030,LB616369,1,,VINE,N 40,N 43,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9296
2019/03/06 00:00:00+00,78,W,F,1041,LB624028,2,,CALVERT,S 51,S 53,1556,OCCUPANT PROTECTION SYSTEM,C,9297
2019/03/03 00:00:00+00,18,W,F,1739,LB625716,1,B9-018915,1225 F,-,-,9673,FALSE REPORTING - FALSE INFORMATION,C,9298
2019/03/07 00:00:00+00,27,B,F,1650,LB623107,3,,K,ANTELOPE VALL,-,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,9299
2019/02/14 00:00:00+00,26,B,M,1816,LB623716,2,B9-013391,9200 HERITAGE,-,-,9654,"CRIMINAL TRESPASS, 2ND DEG",B,9300
2019/03/06 00:00:00+00,73,W,F,1432,LB625596,1,,NEBR HWY,PINE LAKE,S 70,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9301
2019/03/06 00:00:00+00,41,W,F,1048,LB616370,1,,VINE,N 40,N 43,1683,VIOLATE SPEED LIMIT 6 - 10 OVER,C,9302
2019/03/08 00:00:00+00,33,B,M,19,LB619592,1,B9-020264,GARFIELD,S 9,S 10,2119,POSSESS DRUG PARAPHERNALIA,C,9303
2019/03/06 00:00:00+00,64,W,M,1248,LB616371,1,,SOUTH,S 22,S 19,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9304
2019/03/08 00:00:00+00,33,B,M,19,LB619592,2,B9-020264,GARFIELD,S 9,S 10,2120,POSSESS MARIJUANA 1 OZ OR LESS/1ST,C,9305
2019/03/06 00:00:00+00,23,H,M,1315,LB616372,1,,SOUTH,S 22,WORTHINGTON,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9306
2019/03/07 00:00:00+00,47,W,F,1000,LB616375,1,,N 23,RANDOLPH BYPASS,-,1331,VIOLATE STOP SIGN,C,9307
2019/03/06 00:00:00+00,23,H,M,1315,LB616372,2,,SOUTH,S 22,WORTHINGTON,1556,OCCUPANT PROTECTION SYSTEM,C,9308
2019/03/06 00:00:00+00,35,W,M,1630,LB624528,1,B9-019818,2926 SUMNER,-,-,1293,MAKE FALSE STATEMENT TO POLICE OFFICER,C,9309
2019/03/06 00:00:00+00,33,W,M,1353,LB616373,1,,SOUTH,WORTHINGTON,S 22,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9310
2019/03/07 00:00:00+00,28,W,M,1018,LB568850,1,,S 21,G,-,1331,VIOLATE STOP SIGN,C,9311
2019/03/06 00:00:00+00,32,H,M,1433,LB616374,1,,SOUTH,S 22,WORTHINGTON,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9312
2019/03/07 00:00:00+00,55,W,F,1033,LB573257,1,,S 21,G,-,1331,VIOLATE STOP SIGN,C,9313
2019/03/06 00:00:00+00,73,W,F,1432,LB625596,2,,NEBR HWY,PINE LAKE,S 70,1556,OCCUPANT PROTECTION SYSTEM,C,9314
2019/03/06 00:00:00+00,62,W,F,1353,LB295940,1,,ROSA PARKS WAY,S FOLSOM,S 9,2087,VIOLATE SPEED LIMIT 21-35 OVER,C,9315
2019/03/08 00:00:00+00,56,W,M,100,LB620095,1,B9-020267,1111 O,-,-,2037,LOITER AND TRESPASS,C,9316
2019/03/07 00:00:00+00,52,W,F,1312,LB573258,1,,S 10,SOUTH,SUMNER,1683,VIOLATE SPEED LIMIT 6 - 10 OVER,C,9317
2019/03/06 00:00:00+00,26,W,F,1456,LB188458,1,B9-019779,S 27,J,RANDOLPH,2167,IMPROPER REGISTRATION,C,9318
2019/03/06 00:00:00+00,21,W,M,830,LB295931,1,,CORNHUSKER,N 70,RUSSELL,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,9319
2019/03/08 00:00:00+00,37,B,F,1419,LB622320,1,B9-020433,119 S 9,-,-,9190,3RD DEG ASSAULT,B,9320
2019/03/08 00:00:00+00,37,B,F,1419,LB622320,2,B9-020433,119 S 9,-,-,2228,STEAL GOODS OR MONEY < $500,B,9321
