VDAT,AGE,RACE,SEX,VTIM,TICK_,CHGNO,RKY,ONST,ATST,BTST,CITED,CHARGED,CB,ObjectId
2018/12/25 00:00:00+00,53,W,M,1920,LB619453,1,B8-119261,7041 HAVELOCK,-,-,2037,LOITER AND TRESPASS,C,40
2018/12/25 00:00:00+00,53,W,M,1920,LB619453,2,B8-119261,7041 HAVELOCK,-,-,1309,INJURE OR DESTROY PROPERTY OF ANOTHER,C,41
2018/12/31 00:00:00+00,29,W,M,1821,LB607399,1,B8-120529,6100 O,-,-,1293,MAKE FALSE STATEMENT TO POLICE OFFICER,C,42
2018/12/31 00:00:00+00,29,W,M,1821,LB607399,2,B8-120529,6100 O,-,-,1294,REFUSE TO COMPLY WITH ORDER OF POLICE OFFCR,C,43
2018/12/31 00:00:00+00,47,W,F,1232,LB612883,1,B8-120417,2203 N COTNER,-,-,2228,STEAL GOODS OR MONEY < $500,C,44
2019/01/01 00:00:00+00,24,W,M,415,LB612341,1,B9-000080,S 21,WASHINGTON,GARFIELD,1874,"DRIVING UNDER INFLUENCE/.08, FIRST OFFENSE",C,45
2019/01/01 00:00:00+00,24,W,M,415,LB612341,2,B9-000080,S 21,WASHINGTON,GARFIELD,2111,RECKLESS DRIVING,C,46
2019/01/01 00:00:00+00,24,W,M,415,LB612341,3,B9-000080,S 21,WASHINGTON,GARFIELD,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,47
2019/01/01 00:00:00+00,34,W,F,136,LB618271,1,B9-000027,O,9,-,1874,"DRIVING UNDER INFLUENCE/.08, FIRST OFFENSE",C,48
2019/01/01 00:00:00+00,34,W,F,136,LB618271,2,B9-000027,O,9,-,2195,BROKEN OR WHITE TAIL LIGHT,C,49
2019/01/01 00:00:00+00,34,W,F,136,LB618271,3,B9-000027,O,9,-,2110,CARELESS DRIVING SO AS TO ENDANGER,C,50
2018/12/31 00:00:00+00,19,W,M,235,LB595767,1,B8-120335,S 9,K,C,1874,"DRIVING UNDER INFLUENCE/.08, FIRST OFFENSE",C,51
2018/12/31 00:00:00+00,19,W,M,235,LB595767,2,B8-120335,S 9,K,C,2112,NEGLIGENT DRIVING,C,52
2019/01/02 00:00:00+00,58,W,M,1556,LB620132,1,B9-000384,1431 W PLUM,-,-,1303,DISTURBING THE PEACE,C,53
2019/01/01 00:00:00+00,39,W,M,1837,LB614505,1,B9-000190,PIONEERS,S 63,S 61,1898,"SUSPENDED LICENSE, ELIGIBLE",C,54
2019/01/01 00:00:00+00,39,W,M,1837,LB614505,2,B9-000190,PIONEERS,S 63,S 61,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,55
2019/01/01 00:00:00+00,39,W,M,1837,LB614505,3,B9-000190,PIONEERS,S 63,S 61,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,56
2019/01/02 00:00:00+00,45,W,M,935,LB617013,1,B8-119630,901 W BOND,-,-,11658,LEAVE ACCIDENT-FAIL TO FURNISH INFO/1ST,C,57
2018/12/31 00:00:00+00,39,B,M,2152,LB620506,1,B8-120557,S 33,LAKE,SMITH,1898,"SUSPENDED LICENSE, ELIGIBLE",C,58
2018/12/31 00:00:00+00,39,B,M,2152,LB620506,2,B8-120557,S 33,LAKE,SMITH,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,59
2018/12/31 00:00:00+00,39,B,M,2152,LB620506,3,B8-120557,S 33,LAKE,SMITH,2167,IMPROPER REGISTRATION,C,60
2019/01/02 00:00:00+00,53,B,F,1821,2019000044,1,,N 48,HOLDREGE,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,61
2019/01/01 00:00:00+00,42,W,M,2334,LB610499,1,,SUN VALLEY,W O,-,1328,VIOLATE AUTOMATIC TRAFFIC SIGNAL,C,62
2019/01/02 00:00:00+00,56,W,M,2032,2019000046,1,,12,O,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,63
2019/01/02 00:00:00+00,31,W,F,1200,LB612560,1,,N 66,HAVELOCK,COLFAX,2167,IMPROPER REGISTRATION,C,64
2019/01/02 00:00:00+00,16,W,F,1545,LB609720,1,B9-000391,N 48,R,VINE,2112,NEGLIGENT DRIVING,C,65
2019/01/01 00:00:00+00,31,B,M,350,LB613933,1,B9-000078,OREGON TRL,SANTE FE TRL,NW 7,1875,"DRIVING UNDER INFLUENCE/.08, SECOND OFFENSE",C,66
2019/01/01 00:00:00+00,31,B,M,350,LB613933,2,B9-000078,OREGON TRL,SANTE FE TRL,NW 7,1898,"SUSPENDED LICENSE, ELIGIBLE",C,67
2019/01/01 00:00:00+00,31,B,M,350,LB613933,3,B9-000078,OREGON TRL,SANTE FE TRL,NW 7,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,68
2018/10/25 00:00:00+00,27,B,M,2323,LB576425,1,B8-100331,340 W CORNHUSKE,-,-,11088,POSS CONTROLLED SUBSTANCE,B,69
2019/01/02 00:00:00+00,23,W,F,1216,LB614452,1,B9-000324,S 49,SOUTH,NEWTON,1361,BACKING MOTOR VEHICLE WITHOUT SAFETY,C,70
2019/01/02 00:00:00+00,23,W,F,1216,LB614452,2,B9-000324,S 49,SOUTH,NEWTON,2167,IMPROPER REGISTRATION,C,71
2018/11/28 00:00:00+00,52,W,M,1335,LB595416,1,B8-110995,S 48,S COTNER,-,2112,NEGLIGENT DRIVING,C,72
2018/11/14 00:00:00+00,49,W,M,1600,LB617546,1,B8-110861,7151 STACY,HY-VEE,-,12309,THEFT BY SHOPLIFTING $0-$500,B,73
2018/11/06 00:00:00+00,48,W,M,1829,LB617547,1,B8-116392,7151 STACY,HY-VEE,-,12309,THEFT BY SHOPLIFTING $0-$500,C,74
2018/11/06 00:00:00+00,48,W,M,1829,LB617547,2,B8-116392,7151 STACY,HY-VEE,-,12309,THEFT BY SHOPLIFTING $0-$500,C,75
2018/11/06 00:00:00+00,48,W,M,1829,LB617547,3,B8-116392,7151 STACY,HY-VEE,-,12309,THEFT BY SHOPLIFTING $0-$500,C,76
2018/11/06 00:00:00+00,48,W,M,1829,LB617547,4,B8-116392,7151 STACY,HY-VEE,-,12309,THEFT BY SHOPLIFTING $0-$500,C,77
